Policy Name,Policy ID,Description,Policy URL,Category,Compliance Framework,Review Frequency,Status,Last Reviewed,Next Review,Effective Date,Version,Owner,Approver,Notes
Vulnerability Management Policy,POL-011,"Establishes requirements for identifying, evaluating, prioritizing, and remediating security vulnerabilities across the environment.",https://example.com/policies/vuln-mgmt,Information Security,NIST CSF 2.0,BiAnnual,Current,2025-07-01,2026-01-01,2024-07-01,1.1,CISO,CTO,"Aligns to DE.CM-08, RS.MI-02. Covers scanning frequency, severity-based SLAs, and exception handling."
Adverse Event Analysis Policy,POL-012,"Defines processes for analyzing detected cybersecurity events to determine their nature, scope, and potential impact.",https://example.com/policies/event-analysis,Incident Response,NIST CSF 2.0,Annual,Current,2025-02-20,2026-02-20,2024-08-01,1.0,CISO,CEO,"Aligns to DE.AE-02 through DE.AE-08. Covers event correlation, triage, and escalation criteria."
Incident Response Policy,POL-013,"Establishes the framework for responding to cybersecurity incidents including roles, communications, containment, and eradication procedures.",https://example.com/policies/incident-response,Incident Response,NIST CSF 2.0,BiAnnual,Current,2025-05-15,2025-11-15,2024-01-01,2.0,CISO,CEO,"Aligns to RS.MA-01 through RS.MA-05, RS.AN-03, RS.CO-02. Includes tabletop exercise schedule."
Incident Recovery Policy,POL-014,"Defines procedures for recovering from cybersecurity incidents including restoration, communication, and post-incident review.",https://example.com/policies/incident-recovery,Incident Response,NIST CSF 2.0,Annual,Current,2025-05-15,2026-05-15,2024-09-01,1.0,CISO,COO,"Aligns to RC.RP-01 through RC.RP-06, RC.CO-03, RC.CO-04. Covers recovery plans and lessons learned."
Acceptable Use Policy,POL-015,"Defines acceptable and prohibited uses of organizational information systems, networks, and data by employees and contractors.",https://example.com/policies/acceptable-use,Acceptable Use,NIST CSF 2.0,Annual,Current,2025-01-10,2026-01-10,2024-01-10,1.5,HR Director,CISO,"Supports GV.OC-01. Covers internet use, email, BYOD, social media, and remote work requirements."
Privacy Policy,POL-016,"Establishes requirements for collecting, processing, storing, and disposing of personally identifiable information in compliance with applicable regulations.",https://example.com/policies/privacy,Privacy,NIST CSF 2.0,Annual,Current,2025-04-15,2026-04-15,2024-04-15,1.2,Privacy Officer,CEO,"Aligns to GV.OC-02. Covers PII handling, consent, data subject rights, and breach notification."
Change Management Policy,POL-017,"Defines requirements for managing changes to information systems, infrastructure, and configurations to prevent unauthorized or disruptive changes.",https://example.com/policies/change-mgmt,Change Management,NIST CSF 2.0,Annual,Current,2025-06-20,2026-06-20,2024-10-01,1.0,IT Director,CISO,"Aligns to PR.PS-05. Covers change request, review, approval, testing, and rollback procedures."
Encryption and Key Management Policy,POL-018,"Establishes requirements for the use of cryptographic controls to protect data confidentiality and integrity, and management of encryption keys.",https://example.com/policies/encryption,Information Security,NIST CSF 2.0,Annual,Current,2025-03-10,2026-03-10,2024-11-01,1.0,CISO,CTO,"Aligns to PR.DS-01, PR.DS-02. Covers encryption at rest, in transit, and key lifecycle management."
Physical Security Policy,POL-019,"Defines requirements for protecting physical facilities, equipment, and media from unauthorized access, damage, and interference.",https://example.com/policies/physical-security,Physical Security,NIST CSF 2.0,Annual,Current,2025-02-01,2026-02-01,2024-06-15,1.0,Facilities Manager,COO,"Aligns to PR.AA-06, PR.PS-04. Covers facility access, visitor management, and equipment disposal."
Cybersecurity Roles and Responsibilities Policy,POL-020,"Defines cybersecurity roles, responsibilities, and authorities across the organization including management accountability and reporting structures.",https://example.com/policies/roles-responsibilities,Information Security,NIST CSF 2.0,Annual,Current,2025-01-05,2026-01-05,2024-01-05,1.1,CISO,CEO,"Aligns to GV.RR-01 through GV.RR-04. Covers RACI matrix for security functions and board reporting."
